Rank,"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff. Daily"
﻿,"Song Title",Streams,Daily,,,,
97,"Concrete Kisses",5.636.259,5.150,,,,
98,"* Flames - R3HAB & Skytech VIP Remix",5.616.808,371,,,,
99,"LIKE I WOULD - Troyboi Remix",5.557.967,944,,,,
100,"The Time",5.479.925,5.560,,,,
101,"* Flames - GATTÜSO Remix",5.363.067,237,,,,
102,"Gates Of Hell",4.894.764,3.666,,,,
103,"Fuchsia Sea",4.787.108,4.046,,,,
104,"* Trampoline - Dave Audé Remix",4.706.623,178,,,,
105,"* Fire Inside",4.435.213,1.307,,,,
106,"* Flames - Frank Walker Remix",4.366.285,268,,,,
107,"Ignorance Ain't Bliss - Demo",3.884.103,5.363,,,,
108,"In The Bag",3.657.331,4.613,,,,
109,"LIKE I WOULD - Dave Audé Mix",3.467.113,134,,,,
110,Unf**kwitable,3.425.135,357,,,,
111,"Love Like This - Mura Masa Remix",2.721.497,512,,,,
112,"LIKE I WOULD - Oliver Nelson Remix",2.718.059,195,,,,
113,Gave,2.639.205,4.076,,,,
114,"LIKE I WOULD - Lenno Remix",1.642.171,68,,,,
115,"* EYES CLOSED (with ZAYN) - 2X",1.476.138,3.703,,,,
116,"LIKE I WOULD - Rytmeklubben Remix",1.432.478,71,,,,
117,"Alienated - Demo",1.212.783,1.311,,,,
118,"LIKE I WOULD - Sharam Jey Remix",1.194.973,59,,,,
119,"* EYES CLOSED (with ZAYN) - 0.5X",1.062.603,2.604,,,,
120,"* EYES CLOSED (with ZAYN) - BARE",915.773,2.831,,,,
121,"* Trampoline (Joel Corry Remix) - Extended Mix",544.776,74,,,,
122,"* EYES CLOSED (with ZAYN) - UNVEILED",342.811,1.322,,,,
">>>>>>> b99360b49daebb7d59fc17adfdd138118601ca90",,,,
